"model_key","model_label","target","term","coefficient"
"chatgpt","ChatGPT","gender","fachkraft",-1.07358457384945
"chatgpt","ChatGPT","gender","fach-mann/-frau",0.537714000656652
"chatgpt","ChatGPT","gender","(Intercept)",0.508497714267535
"chatgpt","ChatGPT","gender","kauf-mann/-frau",-0.210738215014997
"chatgpt","ChatGPT","gender","kommunikationsspezialist",-0.0453600757637475
"chatgpt","ChatGPT","ethnicity","(Intercept)",-3.26834387869125e-16
"chatgpt","ChatGPT","ethnicity","muttersprache",-4.06530730146785e-17
"gemini","Gemini","gender","fachkraft",-1.55156572909478
"gemini","Gemini","gender","(Intercept)",1.036511652357
"gemini","Gemini","gender","führungskraft",-0.3463622685908
"gemini","Gemini","gender","profi",0.138846847439473
"gemini","Gemini","gender","persönlichkeit",-0.110950271611012
"gemini","Gemini","gender","kauf-mann/-frau",-0.0778323227763066
"gemini","Gemini","ethnicity","(Intercept)",-2.96179920032045e-16
"gemini","Gemini","ethnicity","austausch",-5.46630214212802e-17
"qwen4B","Qwen 4B","gender","fachkraft",-0.348544758665733
"qwen4B","Qwen 4B","gender","(Intercept)",0.215719324652072
"qwen4B","Qwen 4B","gender","wertvoll",0.0944854224843644
"qwen4B","Qwen 4B","gender","fachperson",-0.0795936504011946
"qwen4B","Qwen 4B","gender","fokus",-0.0549400093298172
"qwen4B","Qwen 4B","gender","liegen",0.0219339664662969
"qwen4B","Qwen 4B","gender","prägen",0.0206932735605862
"qwen4B","Qwen 4B","gender","fach-mann/-frau",0.00916256108679893
"qwen4B","Qwen 4B","gender","praxis",0.00249266442396081
"qwen4B","Qwen 4B","gender","grundlage",0.00136488406974379
"qwen4B","Qwen 4B","gender","sprechen",0.000680186989052218
"qwen4B","Qwen 4B","gender","lösen",0.000437450109747526
"qwen4B","Qwen 4B","ethnicity","(Intercept)",-3.37511356468677e-16
"qwen4B","Qwen 4B","ethnicity","value",3.94487250126863e-17
"qwen8B","Qwen 8B","gender","fachkraft",-0.609949612905632
"qwen8B","Qwen 8B","gender","sport",0.180373140134187
"qwen8B","Qwen 8B","gender","(Intercept)",0.167022295120048
"qwen8B","Qwen 8B","gender","ergebnisorientiert",0.0980954955837236
"qwen8B","Qwen 8B","gender","spezialist",0.0100904891824522
"qwen8B","Qwen 8B","gender","neu",0.00370628071865838
"qwen8B","Qwen 8B","gender","begrenzt",-0.00255582125207768
"qwen8B","Qwen 8B","ethnicity","(Intercept)",-2.94565377598514e-16
"qwen8B","Qwen 8B","ethnicity","wertvoll",-4.86446031584769e-17
"qwen14B","Qwen 14B","gender","fachkraft",-0.383750937520999
"qwen14B","Qwen 14B","gender","(Intercept)",0.259357429828714
"qwen14B","Qwen 14B","ethnicity","(Intercept)",0.0406220247041438
"qwen14B","Qwen 14B","ethnicity","muttersprachlich",-0.0283138682048869
"qwen4B_topk64","Qwen 4B top_k=64","gender","fachkraft",-0.205098511447405
"qwen4B_topk64","Qwen 4B top_k=64","gender","(Intercept)",0.129167116682847
"qwen4B_topk64","Qwen 4B top_k=64","gender","fachperson",-0.102547076092405
"qwen4B_topk64","Qwen 4B top_k=64","gender","teammitglied",0.0879961364411951
"qwen4B_topk64","Qwen 4B top_k=64","gender","umfassen",0.0630820284989433
"qwen4B_topk64","Qwen 4B top_k=64","gender","prägen",0.048400697075292
"qwen4B_topk64","Qwen 4B top_k=64","gender","motiviert",-0.0447424129637431
"qwen4B_topk64","Qwen 4B top_k=64","gender","technologisch",0.0393656561984228
"qwen4B_topk64","Qwen 4B top_k=64","gender","reichen",0.0362960110669423
"qwen4B_topk64","Qwen 4B top_k=64","gender","integrativ",-0.018599073675153
"qwen4B_topk64","Qwen 4B top_k=64","gender","person",-0.0114180410993937
"qwen4B_topk64","Qwen 4B top_k=64","gender","machine",0.000822231113773527
"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","berl",-0.0546156266160686
"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","alt",0.039148879653051
"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","(Intercept)",0.00827180706961908
"qwen8B_topk64","Qwen 8B top_k=64","gender","fachkraft",-0.476724493384896
"qwen8B_topk64","Qwen 8B top_k=64","gender","(Intercept)",0.17614832081472
"qwen8B_topk64","Qwen 8B top_k=64","gender","ergebnisorientiert",0.104512807720054
"qwen8B_topk64","Qwen 8B top_k=64","gender","fachspezialist",0.0988566181329704
"qwen8B_topk64","Qwen 8B top_k=64","gender","sport",0.0894000292853356
"qwen8B_topk64","Qwen 8B top_k=64","gender","alt",0.0701228577329501
"qwen8B_topk64","Qwen 8B top_k=64","gender","breit",0.060713669507233
"qwen8B_topk64","Qwen 8B top_k=64","gender","erprobt",-0.0536402599681808
"qwen8B_topk64","Qwen 8B top_k=64","gender","steuer",0.0451935789015237
"qwen8B_topk64","Qwen 8B top_k=64","gender","initiativ",0.0422730783704399
"qwen8B_topk64","Qwen 8B top_k=64","gender","einklang",0.0400206880015506
"qwen8B_topk64","Qwen 8B top_k=64","gender","project",-0.0228432221898067
"qwen8B_topk64","Qwen 8B top_k=64","gender","trainer",0.0226568990138188
"qwen8B_topk64","Qwen 8B top_k=64","gender","kommunikationsexperte/-in",-0.0114112446944811
"qwen8B_topk64","Qwen 8B top_k=64","gender","veranstaltung",-0.0113798880471084
"qwen8B_topk64","Qwen 8B top_k=64","gender","fh",0.00825799570769217
"qwen8B_topk64","Qwen 8B top_k=64","gender","fachkompetenz",0.00467565481545694
"qwen8B_topk64","Qwen 8B top_k=64","gender","kommunikator",-0.00426913160195319
"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","(Intercept)",-3.37712609101e-16
"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","leiter",2.23521118246045e-17
"qwen14B_topk64","Qwen 14B top_k=64","gender","fachkraft",-0.343212675315728
"qwen14B_topk64","Qwen 14B top_k=64","gender","(Intercept)",0.233280928250337
"qwen14B_topk64","Qwen 14B top_k=64","gender","profi",0.0312430627112684
"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","st",0.0547824819785111
"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","(Intercept)",0.0517530721670137
"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","muttersprachlich",-0.0354769888377054
"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","volunteering",0.0295149803090063
"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","berl",-0.0188435559295216
"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","zusammenzuarbeien",0.00704756056092838
"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","bayern",0.00612711469486425
"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","märz",-0.0026690668410555
"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","engagiert",0.00154060756164223
"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","kulturell",-0.000932254323845716
