model,contrast,label_a,label_b,term,avg_tfidf_turkish,avg_tfidf_german,ATE_tfidf,sum_tf_turkish,sum_tf_german,tf_ratio_a_over_b,doc_share_turkish,doc_share_german,chi2,chi2_p
qwen14B,ethnicity_turkish_vs_german,turkish,german,muttersprachlich,1.8852421884394364,1.0734880066969,0.8117541817425364,497.0,283.0,1.7561837429110114,0.35166666666666624,0.20666666666666703,133.62722684069266,6.592005884530445e-31
qwen14B,ethnicity_turkish_vs_german,turkish,german,berl,1.321762960220019,0.7938762052095459,0.527886755010473,323.0,194.0,1.6649484501806782,0.27833333333333365,0.18833333333333357,79.02985461858808,6.117840242781976e-19
qwen14B,ethnicity_turkish_vs_german,turkish,german,international,4.823542132688674,4.423530698658909,0.40001143402976513,2267.0,2079.0,1.0904280903845944,0.7650000000000041,0.7516666666666705,10.382257192489256,0.001272320540250251
qwen14B,ethnicity_turkish_vs_german,turkish,german,kenntnisse,1.9308272443150676,1.5324025748532268,0.39842466946184074,693.0,550.0,1.2599999995272728,0.5383333333333322,0.48333333333333156,27.501879838958587,1.5694188832713685e-07
qwen14B,ethnicity_turkish_vs_german,turkish,german,innovation,1.725343426553687,1.4662572024342395,0.2590862241194476,606.0,515.0,1.1766990287831087,0.5066666666666648,0.4783333333333316,12.619186295202645,0.00038180749927200786
qwen14B,ethnicity_turkish_vs_german,turkish,german,customer,0.6649658808325756,0.4175367158716169,0.24742916496095868,129.0,81.0,1.5925925852766347,0.1566666666666667,0.0899999999999999,33.93314262321724,5.703874441806031e-09
qwen14B,ethnicity_turkish_vs_german,turkish,german,schwerpunkt,1.4278874556055547,1.190846850327163,0.23704060527839177,506.0,422.0,1.1990521322297343,0.544999999999999,0.4549999999999985,12.87375701080894,0.0003332219734560876
qwen14B,ethnicity_turkish_vs_german,turkish,german,business,1.7335324928405118,1.50675108025162,0.22678141258889184,451.0,392.0,1.150510203697678,0.27500000000000036,0.2666666666666671,9.523205226152733,0.0020288991218487982
qwen14B,ethnicity_turkish_vs_german,turkish,german,sprachkenntnisse,1.166177367479368,0.9450805431617184,0.22109682431764965,269.0,218.0,1.2339449530552984,0.21166666666666706,0.19166666666666693,13.89232612755655,0.00019358726305917045
qwen14B,ethnicity_turkish_vs_german,turkish,german,diversität,1.21597734478673,0.996316921212355,0.21966042357437487,310.0,254.0,1.22047244007688,0.28166666666666695,0.23500000000000054,13.086152893792654,0.00029748668437803804
qwen14B,ethnicity_turkish_vs_german,turkish,german,professional,0.5443658200724827,0.34022863754530175,0.20413718252718094,80.0,50.0,1.5999999880000002,0.05499999999999996,0.03666666666666666,28.265148349917418,1.0578352868134965e-07
qwen14B,ethnicity_turkish_vs_german,turkish,german,sozial,2.068283850650444,1.8704480040664895,0.19783584658395448,690.0,624.0,1.1057692305997289,0.4483333333333319,0.4516666666666652,5.962176198420412,0.014615989700774061
qwen14B,ethnicity_turkish_vs_german,turkish,german,lernen,0.41240090384801453,0.22032377054893887,0.19207713329907566,73.0,39.0,1.8717948494411578,0.11999999999999984,0.06333333333333328,34.98547785090279,3.3217350383023962e-09
qwen14B,ethnicity_turkish_vs_german,turkish,german,strategieentwicklung,0.7371890088444198,0.5469466839813443,0.19024232486307557,155.0,115.0,1.3478260839319471,0.1800000000000002,0.13333333333333322,16.9104288767179,3.918570037371561e-05
qwen14B,ethnicity_turkish_vs_german,turkish,german,entwicklungsmöglichkeit,0.4056446306493809,0.22668376418641856,0.17896086646296233,68.0,38.0,1.7894736634349035,0.09833333333333322,0.053333333333333295,30.389581097484196,3.534213210505502e-08
qwen14B,ethnicity_turkish_vs_german,turkish,german,kenntnis,1.376367199545662,1.2000201521038734,0.17634704744178853,320.0,279.0,1.1469534044912064,0.22666666666666715,0.18500000000000022,7.242299444186935,0.007120572975814284
qwen14B,ethnicity_turkish_vs_german,turkish,german,politik,0.5826982418009132,0.40726221201139096,0.17543602978952227,93.0,65.0,1.430769224142012,0.06333333333333328,0.06333333333333328,18.653957597873227,1.5672162105515983e-05
qwen14B,ethnicity_turkish_vs_german,turkish,german,fachkraft,0.6897658598353119,0.5150848953315631,0.17468096450374881,154.0,115.0,1.3391304318336483,0.2150000000000004,0.15500000000000003,15.19529579698041,9.694462253409782e-05
qwen14B,ethnicity_turkish_vs_german,turkish,german,kreativität,0.6385962758567818,0.47078995519368527,0.16780632066309653,137.0,101.0,1.3564356400352906,0.19000000000000025,0.1416666666666666,15.229481203037164,9.520550087445071e-05
qwen14B,ethnicity_turkish_vs_german,turkish,german,inklusive,0.6347191080951768,0.4671532635580501,0.16756584453712675,125.0,92.0,1.3586956482750474,0.13833333333333325,0.11999999999999984,15.289418072972712,9.223174102391444e-05
qwen14B,ethnicity_turkish_vs_german,turkish,german,data,2.0357814256268134,1.8710361079460316,0.16474531768078182,519.0,477.0,1.0880503142808169,0.26166666666666716,0.25500000000000056,4.168255025658348,0.0411881992760975
qwen14B,ethnicity_turkish_vs_german,turkish,german,kulturell,0.5258640452741499,0.36405972365133454,0.16180432162281533,104.0,72.0,1.444444438271605,0.15166666666666667,0.10999999999999986,17.65138054067073,2.653226200375656e-05
qwen14B,ethnicity_turkish_vs_german,turkish,german,ziel,0.735263621251688,0.5765135212087104,0.15875010004297763,176.0,138.0,1.2753623168452006,0.2450000000000006,0.19833333333333364,11.527077327961532,0.000685897629427172
qwen14B,ethnicity_turkish_vs_german,turkish,german,juli,0.48715115000839565,0.3285437988428716,0.15860735116552405,86.0,58.0,1.4827586123662309,0.10333333333333321,0.07833333333333325,18.50419096931111,1.6953110501461156e-05
qwen14B,ethnicity_turkish_vs_german,turkish,german,strategie,0.9371227346081508,0.7789072079859954,0.15821552662215532,231.0,192.0,1.2031249989420574,0.2450000000000006,0.2316666666666672,8.752348281225714,0.0030920364179414933
qwen14B,ethnicity_turkish_vs_german,turkish,german,analyse,1.2330085753962818,1.0808635583808037,0.1521450170154781,389.0,341.0,1.1407624629303155,0.4266666666666655,0.38499999999999923,6.002433548008068,0.014286159534731663
qwen14B,ethnicity_turkish_vs_german,turkish,german,analytics,1.467581794036248,1.3156351941486566,0.15194659988759152,396.0,355.0,1.1154929574211465,0.2933333333333335,0.29500000000000015,4.9772121933885085,0.025683338198571257
qwen14B,ethnicity_turkish_vs_german,turkish,german,cha,0.6494780438541208,0.500172746416392,0.1493052974377288,87.0,67.0,1.298507458231232,0.03333333333333333,0.028333333333333335,11.63417902112175,0.0006475091508114387
qwen14B,ethnicity_turkish_vs_german,turkish,german,supply,0.6494780438541208,0.500172746416392,0.1493052974377288,87.0,67.0,1.298507458231232,0.03333333333333333,0.028333333333333335,11.63417902112175,0.0006475091508114387
qwen14B,ethnicity_turkish_vs_german,turkish,german,erwachsenenbildung,1.9323140582361942,1.783036577342411,0.14927748089378312,466.0,430.0,1.0837209300378583,0.22666666666666715,0.22500000000000048,3.598653557260852,0.057826388109600564
