stem,category
abenteuer,agentic
aggressiv,agentic
ambition,agentic
analytisch,agentic
aufgabenorientier,agentic
autark,agentic
autoritä,agentic
autonom,agentic
beharr,agentic
(be)sieg,agentic
bestimmt,agentic
direkt,agentic
domin,agentic
durchsetz,agentic
ehrgeiz,agentic
eigenständig,agentic
einzel,agentic
einfluss,agentic
einflussreich,agentic
energisch,agentic
entscheid,agentic
entschlossen,agentic
erfolgsorientier,agentic
führ,agentic
gewinn,agentic
hartnäckig,agentic
herausfordern,agentic
hierarch,agentic
kompetitiv,agentic
konkurr,agentic
kräftig,agentic
kraft,agentic
leisten,agentic
leistungsfähig,agentic
leistungsorient,agentic
leit,agentic
lenken,agentic
mutig,agentic
offensiv,agentic
persisten,agentic
rational,agentic
risiko,agentic
selbstbewusst,agentic
selbstsicher,agentic
selbstständig/selbständig,agentic
selbstvertrauen,agentic
stark,agentic
stärke,agentic
stolz,agentic
überlegen (sein),agentic
unabhängig,agentic
wettbewerb,agentic
wetteifer,agentic
wettkampf,agentic
wettstreit,agentic
willens,agentic
zielorient,agentic
zielsicher,agentic
zielstrebig,agentic
angenehm,communal
aufrichtig,communal
beraten,communal
bescheiden,communal
betreu,communal
beziehung,communal
commit,communal
dankbar,communal
ehrlich,communal
einfühl,communal
emotion,communal
empath,communal
engag,communal
familie,communal
fleiß,communal
förder,communal
freundlich,communal
freundschaft,communal
fürsorg,communal
gefühl,communal
gemeinsam,communal
gemeinschaft,communal
gruppe,communal
harmon,communal
(mit)helfen,communal
herzlich,communal
(mit)hilf,communal
höflich,communal
interpers,communal
kollabor,communal
kollegial,communal
kooper,communal
kümmern,communal
liebensw,communal
loyal,communal
miteinander,communal
mitfühl,communal
mitgefühl,communal
nett,communal
partnerschaftlich,communal
pflege,communal
rücksicht,communal
sensib,communal
sozial,communal
team,communal
treu,communal
umgänglich,communal
umsichtig,communal
uneigennützig,communal
unterstütz,communal
verantwortung,communal
verbunden,communal
verein,communal
verlässlich,communal
verständnis,communal
vertrauen,communal
wertschätz,communal
zugehörig,communal
zusammen,communal
zuverlässig,communal
zwischenmensch,communal
